NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

aaa.lzu.edu.cn. 3600 IN A 202.201.0.175
archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

art.lzu.edu.cn. 4498 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

art.lzu.edu.cn. 4497 IN A 202.201.13.172

atc.lzu.edu.cn. 528 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 4127 IN A 202.201.1.185

atmos.lzu.edu.cn. 274 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 29 IN A 202.201.1.185

atmoseng.lzu.edu.cn. 7200 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 1813 IN A 202.201.1.185

bb.lzu.edu.cn. 3600 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

bb.lzu.edu.cn. 3599 IN A 210.26.49.240

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

NXDOMAIN for www.bb.lzu.edu.cn

bbs.lzu.edu.cn. 7200 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bbs.lzu.edu.cn. 7199 IN A 202.201.1.235

bdf.lzu.edu.cn. 3600 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

bdf.lzu.edu.cn. 3599 IN A 202.201.2.158

beta.lzu.edu.cn. 3600 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

beta.lzu.edu.cn. 3599 IN A 202.201.15.132

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

NXDOMAIN for bioteach.lzu.edu.cn

bwb.lzu.edu.cn. 3600 IN A 202.201.0.42

bwg.lzu.edu.cn. 7200 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bwg.lzu.edu.cn. 7199 IN A 202.201.13.101

bx.lzu.edu.cn. 3600 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

bx.lzu.edu.cn. 3599 IN A 202.201.0.155

caoye.lzu.edu.cn. 1532 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 3870 IN A 202.201.1.185

caoye.lzu.edu.cn. 1531 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 3870 IN A 202.201.1.185

caoye.lzu.edu.cn. 1531 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 3870 IN A 202.201.1.185

caoye.lzu.edu.cn. 1531 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 3870 IN A 202.201.1.185

caoyeen.lzu.edu.cn. 7200 IN A 202.201.13.172

carn.lzu.edu.cn. 3600 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

carn.lzu.edu.cn. 3599 IN A 202.201.9.66

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for carn.lzu.edu.cn<BR>www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

NXDOMAIN for www.carn.lzu.edu.cn

case.lzu.edu.cn. 3600 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

case.lzu.edu.cn. 3599 IN A 202.201.1.54

ccm.lzu.edu.cn. 3600 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

ccm.lzu.edu.cn. 3599 IN A 210.26.49.253

cdata.lzu.edu.cn. 3600 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

cdata.lzu.edu.cn. 3599 IN A 202.201.2.153

lzu2.cdn.lzu.edu.cn. 3600 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

lzu2.cdn.lzu.edu.cn. 3599 IN A 202.201.0.23

project.cdn.lzu.edu.cn. 3600 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

project.cdn.lzu.edu.cn. 3599 IN A 202.201.0.141

www.test.cdn.lzu.edu.cn. 3600 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

www.test.cdn.lzu.edu.cn. 3599 IN A 202.201.0.207

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for @.cg.lzu.edu.cn

NXDOMAIN for en.ge.lzu.edu.cn@.cg.lzu.edu.cn

cgm.lzu.edu.cn. 7200 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

cgm.lzu.edu.cn. 7199 IN A 202.201.13.159

chc.lzu.edu.cn. 3600 IN A 202.201.0.44

chem.lzu.edu.cn. 30 IN CNAME chemen.lzu.edu.cn.
chemen.lzu.edu.cn. 878 IN A 202.201.13.70

chem.lzu.edu.cn. 29 IN CNAME chemen.lzu.edu.cn.
chemen.lzu.edu.cn. 878 IN A 202.201.13.70

chem.lzu.edu.cn. 29 IN CNAME chemen.lzu.edu.cn.
chemen.lzu.edu.cn. 878 IN A 202.201.13.70

chem.lzu.edu.cn. 29 IN CNAME chemen.lzu.edu.cn.
chemen.lzu.edu.cn. 878 IN A 202.201.13.70

NXDOMAIN for chemec.lzu.edu.cn

chemen.lzu.edu.cn. 878 IN A 202.201.13.70

chenwb.lzu.edu.cn. 3600 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chenwb.lzu.edu.cn. 3599 IN A 202.201.3.73

chinese.lzu.edu.cn. 7200 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 7197 IN A 202.201.1.185

chineseen.lzu.edu.cn. 7200 IN A 202.201.0.44

ciwes.lzu.edu.cn. 5518 IN A 202.201.0.188

climate.lzu.edu.cn. 3600 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

climate.lzu.edu.cn. 3599 IN A 202.201.0.188

clsf.lzu.edu.cn. 7200 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

clsf.lzu.edu.cn. 7199 IN A 202.201.13.23

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for mail.lzu.edu.cn<BR>my.lzu.edu.cn<BR>www.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for www.zhgw.lzu.edu.cn<BR>zhgw.lzu.edu.cn

NXDOMAIN for lacom.lzu.edu.cnams.lzu.edu.cn

NXDOMAIN for test9.lzu.edu.cnccm.lzu.edu.cn

NXDOMAIN for web2.lzu.edu.cncykx.lzu.edu.cn

